Date,101 HK,1038 HK,11 HK,12 HK,16 HK,17 HK,19 HK,2 HK,2388 HK,267 HK,293 HK,3 HK,330 HK,4 HK,494 HK,5 HK,551 HK,6 HK,66 HK,762 HK,8 HK,83 HK,883 HK,941 HK,992 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1898 HK,1299 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,2018 HK,175 HK
1/4/2016,17.3,70.4,143,39.132,93.2,7.66,84.8,64.8,23.15,13.34,13.14,12.331,8.35,42.271,4.99,60.4,25.75,69.5,37.6,9.23,4.43,11.16,8.01,85.1,7.46,2.96,192.8,5.15,4.53,3.36,4.52,23.8,40.85,5.29,11.46,25.8,5.02,2.46,149.1,14.22,2.86,45.45,25.75,6.72,24.4,12.46,45.65,103,49.8,3.99
1/5/2016,17.42,70.45,144.6,38.554,93.05,7.66,84.55,65.1,22.75,13.16,13.24,12.331,8.26,42.37,4.99,59.9,25.3,69.55,38,9.1,4.46,11.22,8.03,82.9,7.35,2.94,191.7,5.14,4.53,3.35,4.48,23.55,40.4,5.18,11.34,25.6,4.94,2.46,147.4,14.86,2.87,45.65,25.9,6.73,24.5,12.52,45.1,102.6,49.5,3.82
1/6/2016,17.02,70.4,142.3,38.347,92.1,7.32,83.8,64.7,22.65,12.82,13.16,12.182,8.08,42.171,4.83,59.25,26.35,69.9,37.3,9.03,4.45,11.18,8.02,82.5,7.12,2.9,190.1,5.11,4.46,3.32,4.41,23.25,40.1,5.15,11.82,25.25,4.88,2.46,146,15.2,3.06,45.05,25.45,6.71,24.05,12.34,45.25,102.5,46.95,3.69
1/7/2016,16.6,69.15,137.4,37.975,91.65,7.11,81.9,64.2,22.35,12.56,12.98,12.149,7.7,41.722,4.84,57.3,24.9,69.4,36.25,8.55,4.41,10.98,7.55,80.4,6.98,2.86,184.1,5,4.14,3.22,4.29,22.45,37.95,4.95,11.18,24,4.56,2.31,140.2,14.66,2.81,43.65,23.6,6.37,22.45,12.06,44.9,100.4,45.05,3.47
1/8/2016,16.22,70.3,138,37.645,91.55,7.18,81.65,63.9,22.6,12.52,13.04,12.165,7.91,40.875,4.75,57.4,24.75,69.5,36.65,8.85,4.27,10.66,7.63,82.05,7.16,2.91,186.5,5.02,4.37,3.22,4.35,22.55,38,5.05,11.52,23.75,4.68,2.39,142.6,14.5,2.9,43.75,22.8,6.4,22.05,11.82,44.6,99.35,47.45,3.51
1/11/2016,15.9,69.05,135.1,36.405,90.05,6.95,79.5,62.75,21.9,12.14,12.92,11.967,7.79,39.778,4.65,56.35,24.2,68,36.25,8.58,4.14,10.32,7.31,80.6,6.87,2.83,182.1,4.92,4.24,3.12,4.22,21.4,36.35,4.91,10.96,22.6,4.45,2.27,138,13.88,2.77,42.3,22.3,5.93,21.4,11.3,44.05,97.95,46.5,3.34
1/12/2016,15.78,67.9,133.6,35.537,89.8,6.91,77.75,62.8,22.3,12.02,12.76,11.901,7.71,39.13,4.69,56.5,24.35,67.2,36.1,8.34,4.22,10.18,7.07,79.65,6.76,2.77,179.6,4.89,4.2,3.11,4.16,20.95,35.65,4.91,10.88,22.05,4.39,2.28,136.1,13.82,2.7,42,22.3,5.71,21.6,11.5,44.25,97,44.8,3.33
1/13/2016,15.76,68.15,133.6,35.909,90,7,77.65,63.35,22.25,11.88,12.76,11.967,7.84,38.881,4.7,57.05,24.5,68.4,36.7,8.66,4.41,10.32,7.27,81.6,6.73,2.87,179.8,4.89,4.27,3.12,4.17,21.2,36.15,4.91,10.98,22.35,4.45,2.31,137.4,13.94,2.7,43.1,22.45,5.75,21.65,11.48,45.25,99.05,46.5,3.52
1/14/2016,15.68,71.05,133.9,35.455,89.3,6.84,76.75,63.1,22.2,11.86,12.98,12.05,7.81,38.732,4.57,56.3,25.25,70.45,36.45,8.64,4.38,10.22,7.28,81.3,6.72,2.85,179.8,4.82,4.22,3.11,4.15,21,36.3,4.88,11.36,22.4,4.48,2.25,137.1,13.96,2.68,42.7,22.35,5.76,21.6,11.28,44.85,97.9,44.7,3.54
1/15/2016,15.54,71,132.3,34.504,87.3,6.7,76.25,63.35,21.7,11.34,12.76,12.017,7.81,37.635,4.5,56.1,25.55,70.1,36.6,8.51,4.38,9.94,7.06,80.45,6.45,2.79,175.4,4.73,4.03,3.04,4.05,20.35,35.1,4.76,10.98,22.1,4.38,2.22,137,13.62,2.59,42.45,21.65,5.46,21.15,10.84,44.85,97.55,45.7,3.41
